order	lemma	pos	verdict	fix	why	gloss
802	kovač	NOUN	drop_name	kovač — занятие (кузнец)	толкование указывает только на фамилию, но слово означает профессию	славянская фамилия
803	šaputati	VERB	ok			шептать; подсказывать
804	porudžbina	NOUN	ok			заказ
805	fotografisati	VERB	ok			фотографировать
806	nedeljni	ADJ	ok			еженедельный
807	pomračenje	NOUN	ok			астрон. затмение
808	lubenica	NOUN	ok			ботан. арбуз
809	divljenje	NOUN	ok			восхищение
810	buva	NOUN	ok			энтомол. блоха
811	okrutnost	NOUN	ok			жестокость
812	poljski	ADJ	ok			полевой
813	bubašvaba	NOUN	ok			энтомол. таракан
814	cimet	NOUN	ok			корица
815	diplomatski	ADJ	ok			дипломатический
816	riža	NOUN	ok			рис
817	zelje	NOUN	ok			капуста
818	elektricitet	NOUN	ok			физ. электричество
819	suša	NOUN	ok			засуха
820	vulkanski	ADJ	ok			вулканический
821	dobijanje	NOUN	ok			получение
822	svemoguć	ADJ	ok			всемогущий; всесильный, всемощный
823	egzotičan	ADJ	ok			экзотичный; экзотический
824	košnica	NOUN	ok			улей
825	prezir	NOUN	ok			презрение
826	povraćanje	NOUN	ok			физиол. рвота
827	bučan	ADJ	ok			шумный
828	livada	NOUN	gloss	луг	толкования нет, livada — луг, пастбище	?
829	krhak	ADJ	ok			хрупкий (также перен.)
830	svetionik	NOUN	ok			маяк
831	bubnjar	NOUN	ok			барабанщик
832	bobica	NOUN	ok			ягода
833	ponavljanje	NOUN	ok			повторение
834	pečenje	NOUN	ok			кулин. жаркое
835	bakar	NOUN	ok			хим. медь
836	usev	NOUN	ok			с.-х. посев (то, что посеяно)
837	obuća	NOUN	ok			обувь
838	krojač	NOUN	ok			портной
839	samostalan	ADJ	ok			независимый, самостоятельный
840	presedan	NOUN	ok			прецедент
841	financijski	ADV	drop_grammar	финансовый	помечено как ADV, но это ADJ	финансовый
842	zapovedati	VERB	ok			приказывать; распоряжаться
843	mirovni	ADJ	ok			миротворческий (о силах); мирный (о переговорах)
844	rakun	NOUN	ok			зоол. енот, енот-полоскун (Procyon Lotor)
845	jačina	NOUN	ok			сила, мощность; интенсивность
846	blagajna	NOUN	ok			кассовый аппарат
847	vir	NOUN	ok			водоворот
848	finansirati	VERB	ok			финансировать
849	umorstvo	NOUN	ok			убийство
850	trup	NOUN	ok			анат. туловище, торс, корпус; остов, корпус
851	labud	NOUN	ok			зоол. лебедь
852	sisar	NOUN	ok			млекопитающее
853	ujedno	ADV	ok			вместе, одновременно
854	oslobođenje	NOUN	ok			освобождение
855	umor	NOUN	ok			усталость, утомление, утомлённость
856	zraka	NOUN	ok			луч (света)
857	samouveren	ADJ	ok			самоуверенный
858	samostan	NOUN	ok			религ. монастырь
859	demokratski	ADV	drop_grammar	демократический	помечено как ADV, но это ADJ	демократический
860	bušilica	NOUN	ok			дрель
861	zadah	NOUN	ok			смрад, зловоние, вонь
862	osigurač	NOUN	ok			техн. предохранитель
863	alga	NOUN	ok			водоросль
864	taktički	ADV	drop_grammar	тактический	помечено как ADV, но это ADJ	тактический
865	velikodušnost	NOUN	ok			великодушие
866	krijumčarenje	NOUN	ok			юр. контрабанда
867	knjižnica	NOUN	ok			библиотека
868	procenjivati	VERB	ok			оценивать
869	šamar	NOUN	ok			пощёчина, оплеуха
870	donošenje	NOUN	ok			(о решении) принятие
871	krijumčar	NOUN	ok			контрабандист
872	neprijateljstvo	NOUN	ok			враждебность, вражда, неприязнь
873	valcer	NOUN	ok			вальс
874	azil	NOUN	ok			убежище, приют
875	borovnica	NOUN	ok			ботан. черника
876	krišom	ADV	ok			тайно, тайком, скрытно, секретно
877	pomorandža	NOUN	ok			ботан. апельсин
878	manjina	NOUN	ok			меньшинство
879	skakač	NOUN	ok			прыгун; шахм. конь
880	hrčak	NOUN	ok			хомяк
881	neoprostiv	ADJ	ok			непростительный
882	klizav	ADJ	ok			скользкий, склизкий
883	mulj	NOUN	gloss	ил, грязь	толкования нет	?
884	vazduhoplovstvo	NOUN	ok			авиация, воздухоплавание
885	strašilo	NOUN	ok			пугало
886	potcenjivati	VERB	ok			недооценивать
887	predoziranje	NOUN	ok			мед. передозировка
888	neposlušnost	NOUN	ok			непослушание, неповиновение
889	papak	NOUN	ok			копыто
890	fudbaler	NOUN	ok			футболист
891	sumpor	NOUN	ok			хим. сера
892	turistički	ADJ	ok			туристический
893	jegulja	NOUN	ok			ихтиол. угорь (anguilla)
894	vrabac	NOUN	ok			орнитол. воробей
895	novinarstvo	NOUN	ok			журналистика
896	računovodstvo	NOUN	ok			бухгалтерский учёт
897	nag	ADJ	ok			голый, нагой
898	leglo	NOUN	ok			выводок; логово, логовище, лёжка
899	grmljavina	NOUN	ok			метеорол. гроза
900	šaljivdžija	NOUN	ok			большой шутник
901	vrtlog	NOUN	ok			водоворот
902	radnica	NOUN	ok			работница
903	oporuka	NOUN	ok			юр. завещание
904	miraz	NOUN	ok			приданое
905	golicati	VERB	ok			щекотать
906	mol	NOUN	gloss	минор	толкование неполное, нужен музыкальный контекст	муз. минор
907	hologram	NOUN	ok			голограмма
908	upravljač	NOUN	ok			руль, рулевое колесо
909	hrkati	VERB	ok			храпеть
910	čekaonica	NOUN	ok			приёмная
911	ševa	NOUN	gloss	шов	толкования нет	?
912	čep	NOUN	ok			пробка (затычка)
913	crnkinja	NOUN	ok			негритянка
914	varnica	NOUN	ok			искра
915	uranijum	NOUN	ok			уран, хим. химический элемент с атомным номером 92, обозначается химическим символом U, радиоактивный металл из группы т
916	vukov	ADJ	drop_name	Вуков (прилагательное от имени Вука Караджича)	толкования нет, это собственное имя	?
917	tolerancija	NOUN	ok			толерантность, терпимость
918	sabotirati	VERB	ok			саботировать
919	usporedba	NOUN	ok			сравнение
920	bezosećajan	ADJ	ok			бесчувственный
921	vremeplov	NOUN	ok			машина времени
922	lala	NOUN	ok			ботан. тюльпан (Tulipa)
923	mehur	NOUN	ok			пузырь; мочевой пузырь
924	suh	ADJ	ok			сухой
925	barka	NOUN	ok			лодка
926	konjanik	NOUN	ok			всадник, наездник
927	dijabetes	NOUN	ok			мед. диабет
928	patak	NOUN	ok			селезень
929	svetiljka	NOUN	ok			лампа
930	ljudstvo	NOUN	ok			человечество
931	gutati	VERB	ok			глотать
932	helijum	NOUN	ok			хим. гелий
933	pepeljuga	NOUN	drop_name	Золушка	это имя персонажа, не нарицательное слово	Золушка
934	hijena	NOUN	ok			зоол. гиена (hyaena)
935	aranžman	NOUN	ok			предварительное соглашение, сговор
936	zastrašivanje	NOUN	ok			устрашение
937	klin	NOUN	ok			гвоздь
938	žulj	NOUN	ok			волдырь
939	srećković	NOUN	drop_name	Среќковић (фамилия)	толкования нет, это фамилия	?
940	statistički	ADV	ok			статистический
941	vagati	VERB	ok			взвешивать
942	tropski	ADJ	ok			геогр. тропический
943	igračica	NOUN	ok			танцовщица
944	guja	NOUN	ok			зоол. змея (serpens)
945	revolucionaran	ADJ	ok			революционный
946	galeb	NOUN	ok			орнитол. чайка
947	manipulisati	VERB	ok			манипулировать
948	guba	NOUN	ok			мед. лепра; проказа
949	dvogled	NOUN	ok			бинокль
950	histeričan	ADJ	ok			истеричный; истерический
951	vaga	NOUN	ok			весы; вес
952	čedo	NOUN	ok			ребёнок
953	korica	NOUN	gloss	обложка	толкования нет	?
954	ozbiljnost	NOUN	ok			серьёзность; важность, значительность
955	rupica	NOUN	ok			петля (прорез в одежде для застёгивания)
956	tesla	NOUN	gloss	тесла (единица)	толкования нет, это единица магнитной индукции	?
957	skakavac	NOUN	ok			зоол. кузнечик; саранча
958	zapošljavanje	NOUN	ok			трудоустройство, найм
959	usisivač	NOUN	ok			пылесос
960	alatka	NOUN	ok			инструмент
961	etički	ADJ	ok			этический
962	pobačaj	NOUN	ok			выкидыш
963	koincidencija	NOUN	ok			совпадение
964	odsto	ADV	ok			процент
965	šutirati	VERB	ok			ударить/ударять (по мячу)
966	državljanin	NOUN	ok			гражданин
967	proliv	NOUN	gloss	пролив (географический)	толкование указывает на медицинский термин, а слово означает географический пролив	мед. диарея, понос
968	golo	ADV	gloss	голо, голый	толкования нет, слово означает «голо» или используется как наречие от прилагательного «gol»	?
969	ustanak	NOUN	ok			восстание
970	vodenjak	NOUN	ok			зоол. тритон
971	posetnica	NOUN	ok			визитная карточка, визитка
972	kovanica	NOUN	ok			монета
973	suzavac	NOUN	ok			слезоточивый газ
974	naušnica	NOUN	ok			серьга
975	njuškalo	NOUN	ok			разг. проныра, пролаза; шпион, шпик
976	državljanstvo	NOUN	ok			гражданство
977	finansiranje	NOUN	ok			фин. финансирование
978	spaljivanje	NOUN	ok			сжигание, сожжение
979	harmonika	NOUN	ok			аккордеон
980	tiganj	NOUN	ok			сковородка
981	gležanj	NOUN	ok			анат. лодыжка, щиколотка
982	brodić	NOUN	gloss	лодочка, маленькая лодка	толкования нет, это уменьшительное от «brod» (лодка)	?
983	ljigav	ADJ	ok			скользкий, покрытый слизью
984	plahta	NOUN	ok			простыня
985	udaljavati	VERB	ok			удалять, отдалять
986	blagajnik	NOUN	ok			кассир
987	talijanski	ADJ	ok			итальянский
988	dren	NOUN	ok			ботан. кизил (Cornus)
989	udica	NOUN	ok			рыболовный крючок
990	grb	NOUN	ok			анат. спина
991	stolac	NOUN	ok			стул
992	logičan	ADJ	ok			логический
993	amaterski	ADV	drop_grammar	любительский	это прилагательное, а не наречие; если наречие, то служебное слово	любительский
994	jaz	NOUN	ok			пропасть
995	lem	NOUN	ok			техн. припой
996	poboljšavati	VERB	ok			улучшать
997	babica	NOUN	ok			акушерка
998	jarbol	NOUN	ok			мачта; флагшток
999	tvor	NOUN	ok			зоол. хорёк
1000	strateški	ADJ	ok			стратегический
1001	ljigavac	NOUN	ok			ихтиол. угорь; перен. скользкий тип, ловкач, изворотливый человек
1002	zubić	NOUN	gloss	зубик, маленький зуб	толкования нет, уменьшительное от «zub»	?
1003	sakupljanje	NOUN	ok			сбор, собирание; коллекционирование
1004	bilion	NOUN	trap	миллиард	«bilion» в черногорском — миллиард (как в европейской системе), а не триллион	триллион
1005	lignja	NOUN	ok			зоол. кальмар
1006	mlečan	ADJ	ok			молочный
1007	beleg	NOUN	ok			знак, отметина
1008	škare	NOUN	ok			ножницы
1009	upitnik	NOUN	ok			знак вопроса, вопросительный знак
1010	ljaga	NOUN	ok			позор, позорное пятно
1011	zavod	NOUN	ok			заведение, учреждение; центр (научный и т. п.); институт
1012	obdanište	NOUN	ok			ясли-сад
1013	osamdeseti	ADJ	ok			восьмидесятый
1014	svemoćan	ADJ	ok			всемогущий; всесильный, всемощный
1015	gavran	NOUN	ok			ворон
1016	pljusak	NOUN	ok			ливень, проливной дождь
1017	kim	NOUN	ok			тмин
1018	žbun	NOUN	ok			куст
1019	trepavica	NOUN	ok			ресница
1020	besprekorno	ADV	ok			безукоризненно, безупречно
1021	badnjak	NOUN	gloss	рождественское полено	толкования нет, это традиционное рождественское полено в славянской культуре	?
1022	novorođenče	NOUN	ok			новорождённый
1023	ukidanje	NOUN	ok			отмена
1024	akademski	ADJ	ok			академический
1025	jajašce	NOUN	ok			анат. яйцеклетка
1026	mećava	NOUN	ok			метель, пурга, вьюга
1027	arogancija	NOUN	ok			нахальство, наглость, высокомерие, надменность
1028	komercijalan	ADJ	ok			коммерческий
1029	cvrčak	NOUN	gloss	сверчок	«cvrčak» — сверчок, а не цикада	цикада
1030	oduzimanje	NOUN	ok			матем. вычитание
1031	mekušac	NOUN	ok			зоол. моллюск
1032	opatica	NOUN	ok			церк. аббатиса; настоятельница
1033	grm	NOUN	ok			куст
1034	krafna	NOUN	ok			пончик, пышка, пампушка
1035	nadbiskup	NOUN	ok			архиепископ
1036	retorički	ADJ	ok			риторический
1037	kukavičluk	NOUN	ok			трусость, трусливость, малодушие
1038	adut	NOUN	ok			козырь
1039	veleposlanik	NOUN	ok			посол
1040	primena	NOUN	ok			применение, использование
1041	rekreacija	NOUN	ok			отдых
1042	bife	NOUN	ok			буфет
1043	pepeljara	NOUN	ok			пепельница
1044	ljubičica	NOUN	ok			ботан. фиалка
1045	pilence	NOUN	ok			цыплёнок
1046	arogantno	ADV	ok			высокомерно, заносчиво, надменно
1047	mašna	NOUN	ok			бант
1048	šapat	NOUN	ok			шёпот
1049	posvećivati	VERB	ok			посвящать
1050	šara	NOUN	ok			рисунок; узор, украшение, орнамент
1051	hemičar	NOUN	ok			химик
1052	nezaposlenost	NOUN	ok			безработица
1053	preduzetnik	NOUN	ok			предприниматель
1054	moljac	NOUN	ok			моль
1055	šija	NOUN	ok			анат. шея
1056	odjek	NOUN	ok			эхо
1057	jazavac	NOUN	ok			барсук
1058	pegla	NOUN	ok			утюг
1059	poljoprivreda	NOUN	ok			сельское хозяйство
1060	halucinirati	VERB	ok			галлюцинировать
1061	napomenuti	VERB	ok			указать; напомнить
1062	pega	NOUN	ok			веснушка
1063	tvrdoglavost	NOUN	ok			упрямство, упёртость
1064	sirće	NOUN	ok			уксус
1065	raspeće	NOUN	ok			распятие
1066	izjednačiti	ADJ	gloss	приравнять, сравнить	часть речи VERB, не ADJ	приравнять, сравнить, уподобить
1067	trska	NOUN	ok			ботан. тростник (Phragmites)
1068	preobražaj	NOUN	ok			превращение, преображение (часто внешнее, в лучшую сторону); перемена, изменение (к лучшему)
1069	presađivanje	NOUN	ok			пересадка (посадка на другое место)
1070	promaja	NOUN	ok			сквозняк
1071	kreda	NOUN	ok			мел (минерал)
1072	paralelan	ADJ	ok			геометр. параллельный
1073	kavana	NOUN	ok			кафе, кофейня
1074	slikarstvo	NOUN	ok			искусств. живопись
1075	njušiti	VERB	ok			нюхать, обонять; вынюхивать, разнюхивать
1076	vinograd	NOUN	ok			виноградник
1077	hobotnica	NOUN	ok			осьминог
1078	čova	NOUN	gloss	чаша, кубок	толкования нет	?
1079	krunisanje	NOUN	ok			коронация, коронование
1080	dijagram	NOUN	ok			диаграмма
1081	ronilac	NOUN	ok			аквалангист
1082	bakalar	NOUN	ok			зоол. треска (Gadus morhua L.)
1083	glazben	ADJ	ok			музыкальный
1084	sakupljač	NOUN	ok			собиратель, коллекционер; накопитель
1085	jednook	ADJ	ok			одноглазый
1086	pevac	NOUN	gloss	певец	толкования нет	?
1087	postanak	NOUN	ok			возникновение
1088	šezdeseti	ADJ	ok			шестидесятый
1089	komentarisati	VERB	ok			комментировать
1090	obraćanje	NOUN	ok			обращение
1091	istaći	VERB	ok			подчеркнуть, выделить; выдвинуть, выставить
1092	desnica	NOUN	drop_transparent	правая рука	от ст.-слав. "десн" - "правый", но это нарицательное слово, не просто этимология	От ст.-слав. "десн"- "правый"
1093	paun	NOUN	ok			павлин
1094	dopisnik	NOUN	ok			корреспондент, репортёр
1095	oduševljenje	NOUN	ok			воодушевление
1096	leća	NOUN	ok			ботан. чечевица (Lens)
1097	mačevalac	NOUN	ok			фехтовальщик
1098	odbojka	NOUN	ok			спорт. волейбол
1099	katran	NOUN	ok			хим. гудрон
1100	izvod	NOUN	ok			матем. производная (функции)
1101	uspavanka	NOUN	ok			колыбельная песня
1102	zahvalnica	NOUN	ok			благодарность
1103	štampač	NOUN	ok			принтер
1104	apsorbovati	VERB	ok			поглощать, абсорбировать
1105	pedeseti	ADJ	ok			пятидесятый
1106	ljudina	NOUN	gloss	большой человек, великан	толкование неточно передаёт значение	большой человек
1107	badava	ADV	ok			бесплатно
1108	amonijak	NOUN	ok			аммиак
1109	pekmez	NOUN	ok			мармелад
1110	vrtlar	NOUN	ok			садовник
1111	odvijač	NOUN	ok			техн. отвёртка
1112	balistički	ADJ	ok			баллистический
1113	neograničen	ADJ	ok			неограниченный; безграничный
1114	mermer	NOUN	ok			геол. мрамор
1115	zabranjen	ADJ	ok			запрещённый
1116	ćup	NOUN	gloss	кувшин, горшок	толкования нет	?
1117	postojeći	ADJ	ok			существующий
1118	milovati	VERB	ok			ласкать
1119	osovina	NOUN	ok			ось
1120	transformisati	VERB	ok			трансформировать, преобразовывать, превращать; (~ се) трансформироваться, преобразовываться, превращаться
1121	sneško	NOUN	gloss	снежный человек	sneško — это не снеговик, а снежный человек (йети)	снеговик
1122	novinski	ADJ	ok			относящийся к прессе или новостям
1123	apsurdan	ADJ	ok			абсурдный
1124	dušnik	NOUN	gloss	гортань	dušnik — анатомический термин, но толкование неточно: это именно гортань, не просто "дыхательное горло"	анат. гортань; дыхательное горло
1125	otpuštati	VERB	ok			увольнять
1126	automobilski	ADJ	ok			автомобильный
1127	antraks	NOUN	ok			мед. сибирская язва
1128	površinski	ADJ	ok			поверхностный
1129	paganin	NOUN	ok			религ. язычник
1130	dizalo	NOUN	ok			лифт
1131	pešačenje	NOUN	ok			ходьба
1132	limen	ADJ	gloss	оловянный	limen — от лат. "limen" (порог), но в черногорском это оловянный, жестяной	жестяной
1133	bezalkoholan	ADJ	ok			безалкогольный
1134	žlica	NOUN	ok			ложка
1135	celer	NOUN	ok			ботан. сельдерей (Apium)
1136	šahovski	ADJ	ok			шахматный
1137	raskršće	NOUN	ok			перекрёсток
1138	porcelan	NOUN	ok			фарфор
1139	nesanica	NOUN	ok			бессонница
1140	alhemičar	NOUN	ok			алхимик
1141	mađarski	ADJ	ok			венгерский
1142	pajser	NOUN	gloss	монтировка	pajser — это монтировка или лом, а не гвоздодёр	гвоздодёр
1143	bodlja	NOUN	ok			шип; жало
1144	jugozapad	NOUN	ok			юго-запад
1145	angažman	NOUN	ok			ангажемент
1146	asocijacija	NOUN	ok			ассоциация
1147	prefinjen	ADJ	ok			изящный
1148	nestašica	NOUN	ok			недостаток, нехватка, отсутствие
1149	jeka	NOUN	ok			эхо
1150	žvakati	VERB	ok			жевать
1151	biciklist	NOUN	ok			велосипедист
1152	ambis	NOUN	gloss	бездна	ambis — латинское слово, но в черногорском означает именно бездну, пропасть (толкование верно, но неполно)	бездна, пропасть
1	tu	ADV	ok			здесь
4	verovati	VERB	ok			верить
6	tata	NOUN	ok			папа
8	momak	NOUN	ok			юноша
11	opet	ADV	ok			снова
19	shvatiti	VERB	ok			понять
21	prvo	ADV	ok			во-первых
23	razlog	NOUN	ok			мотив, причина
24	slika	NOUN	ok			картина
26	plan	NOUN	ok			замысел
28	rat	NOUN	ok			война
29	odlaziti	VERB	ok			уходить
31	razmišljati	VERB	ok			обдумывать
34	izlaziti	VERB	ok			выходить
36	smiriti	VERB	ok			укротить
39	gotovo	ADV	gloss	готово	толкование неверно: gotovo значит «готово» или «закончено», не «почти»	почти
40	dokaz	NOUN	ok			доказательство
42	izbor	NOUN	ok			выбор
43	gubiti	VERB	ok			терять
48	greška	NOUN	ok			ошибка
49	divan	ADJ	ok			прелестный
50	uživati	VERB	ok			наслаждаться
53	poznat	ADJ	ok			известный
56	pravilo	NOUN	ok			норма
58	glas	NOUN	ok			голос
59	nalaziti	VERB	gloss	находить	толкование неверно: nalaziti значит «находить», не «видеть»	видеть
68	sresti	VERB	gloss	встретить	толкование неверно: sresti значит «встретить», не «видеть»	видеть
71	zauzeti	ADJ	drop_grammar	заузети — причастие пассива	это форма причастия, а не прилагательное; глагол zauzeti значит «занять»	оккупировать
75	predati	VERB	ok			передавать
79	vatra	NOUN	ok			костёр, огонь
80	idiot	NOUN	ok			кретин
86	zločin	NOUN	ok			злодеяние, преступление
88	partner	NOUN	ok			компаньон
89	pripadati	VERB	ok			относиться, принадлежать
94	postajati	VERB	ok			становиться
96	preći	VERB	gloss	переходить	толкование неверно: preći значит «переходить» или «пересекать», не «обращаться»	обращаться
97	nekad	ADV	ok			когда-то
103	izveštaj	NOUN	gloss	отчёт	толкование неверно: izveštaj значит «отчёт», не «авизо»	авизо
106	nesreća	NOUN	ok			неудача
108	prolaziti	VERB	ok			проходить
113	deda	NOUN	ok			дедушка
114	metak	NOUN	ok			пуля
115	brava	NOUN	gloss	скоба	толкование неверно: brava значит «скоба» или «замок», но не в смысле дверного замка	замок
120	dogovor	NOUN	ok			договорённость
124	zaštita	NOUN	ok			покровительство
127	voz	NOUN	ok			поезд
130	iskren	ADJ	ok			откровенный
131	vrh	NOUN	gloss	вершина	толкование неверно: vrh значит «вершина» или «верх», не «остриё»	остриё
134	supruga	NOUN	ok			жена
138	pijan	ADJ	ok			пьяный
139	dodati	VERB	gloss	добавить	толкование неверно: dodati значит «добавить», не «передавать»	передавать
142	haljina	NOUN	ok			платье
143	pretvoriti	VERB	gloss	превратить	толкование неверно: pretvoriti значит «превратить», не «обращаться»	обращаться
145	zatim	ADV	ok			потом
147	nagrada	NOUN	ok			вознаграждение
149	uloga	NOUN	ok			роль
150	narednik	NOUN	ok			сержант
151	pritisak	NOUN	ok			нажим
153	štititi	VERB	ok			оборонять
154	snimiti	VERB	gloss	снять	толкование неверно: snimiti значит «снять» (фото, видео), не «фиксировать»	фиксировать
157	vozilo	NOUN	ok			автомобиль
160	prostor	NOUN	ok			пространство
162	različit	ADJ	ok			непохожий
164	onako	ADV	ok			так
166	prevariti	VERB	ok			обмануть
168	nervozan	ADJ	ok			нервный, суетливый
172	blizina	NOUN	gloss	близость	толкование неверно: blizina значит «близость», не «соприкосновение»	соприкосновение
173	otvarati	VERB	ok			открывать
174	radnja	NOUN	gloss	действие	толкование неверно: radnja значит «действие» или «сюжет», не «магазин»	магазин
179	stavljati	VERB	ok			класть
180	položaj	NOUN	ok			местоположение
181	potvrditi	VERB	gloss	подтвердить	толкование неверно: potvrditi значит «подтвердить», не «верифицировать»	верифицировать, ратифицировать
182	suviše	ADV	ok			слишком
183	stvaran	ADJ	gloss	реальный	толкование неверно: stvaran значит «реальный», не «материальный»	материальный
187	braniti	VERB	ok			оборонять
188	juriti	VERB	ok			мчаться
191	patiti	VERB	ok			страдать
193	dizati	VERB	ok			поднимать
194	posmatrati	VERB	ok			смотреть
196	miris	NOUN	gloss	запах	толкование неверно: miris значит «запах», не «духи»	духи
199	varati	VERB	ok			мошенничать, обманывать, плутовать
208	tema	NOUN	gloss	тема	материя — устаревший перевод, современный: тема	материя
211	krasti	VERB	ok			воровать, тырить
214	specijalan	ADJ	ok			особенный
215	odatle	ADV	ok			оттуда
220	pozivati	VERB	ok			приглашать
221	obratiti	VERB	ok			обращаться
224	kamo	ADV	ok			куда
226	nazivati	VERB	ok			именовать
227	oluja	NOUN	ok			гроза
232	hrabrost	NOUN	ok			мужество, смелость
237	džep	NOUN	ok			карман
239	lutka	NOUN	ok			кукла
246	zrak	NOUN	ok			луч
251	predmet	NOUN	gloss	предмет	дисциплина — узкое значение, основное: предмет	дисциплина
257	tad	ADV	ok			тогда
259	staza	NOUN	ok			тропинка
261	hvatati	VERB	ok			ловить
262	sahrana	NOUN	ok			похороны
263	ljubiti	VERB	ok			целовать
265	završavati	VERB	ok			кончать, оканчивать
268	današnji	ADJ	ok			сегодняшний
270	potpun	ADJ	ok			абсолютный
275	kineski	ADJ	ok			китайский
277	zver	NOUN	gloss	зверь	животное — зверь уже подразумевает дикое животное, не просто животное	животное
279	jasan	ADJ	ok			недвусмысленный
280	objašnjavati	VERB	ok			объяснять
283	tok	NOUN	ok			течение
284	brdo	NOUN	ok			гора
290	onde	ADV	ok			там
293	stav	NOUN	gloss	там	там — толкование верное, но неполное; однако слово в порядке	абзац
295	odvratan	ADJ	ok			одиозный
297	članak	NOUN	ok			статья
299	šetati	VERB	ok			гулять
301	trošiti	VERB	ok			расходовать
310	nered	NOUN	ok			беспорядок
311	ludilo	NOUN	gloss	безумие	невменяемость — невменяемость — юридический термин, основное значение: безумие	невменяемость
313	bicikl	NOUN	ok			велосипед
314	sedište	NOUN	gloss	сиденье	седло — седло — для лошади, основное: сиденье	седло
324	dubok	ADJ	gloss	глубокий	сокровенный — сокровенный — редкое значение, основное: глубокий	глубокий, сокровенный
328	raspored	NOUN	ok			расписание, распорядок
333	mek	ADJ	ok			мягкий
340	dijamant	NOUN	ok			алмаз
342	zapisati	VERB	ok			записывать
346	ispraviti	VERB	ok			выпрямить, распрямить
352	silovati	VERB	ok			изнасиловать
354	odrediti	VERB	ok			фиксировать
357	sumnjiv	ADJ	ok			подозрительный
359	ispitivati	VERB	ok			пытать
365	komplikovati	ADJ	trap	усложнять	komplikovati — это глагол, а не прилагательное; верный перевод: усложнять	усложнять
370	penjati	VERB	ok			подниматься
372	rukavica	NOUN	ok			перчатка
373	vrt	NOUN	ok			сад
375	dužan	ADJ	ok			должен
380	ignorisati	VERB	ok			игнорировать
381	proizvod	NOUN	ok			продукт, произведение
385	zatvarati	VERB	ok			закрывать
388	međutim	ADV	drop_grammar	а	međutim — это союз, служебное слово	а
392	kap	NOUN	ok			капля
394	širiti	VERB	ok			проповедовать
399	pamtiti	VERB	ok			помнить
402	sarađivati	VERB	ok			сотрудничать
407	sahraniti	ADJ	trap	похоронить	sahraniti — это глагол, а не прилагательное; верный перевод: похоронить	похоронить
408	skakati	VERB	ok			прыгать
411	presuda	NOUN	ok			вердикт, приговор
412	razum	NOUN	ok			ум
414	navika	NOUN	ok			привычка
415	kler	NOUN	ok			духовенство
420	dugme	NOUN	ok			пуговица
421	pucnjava	NOUN	ok			стрельба
422	šolja	NOUN	ok			чашка
423	novčić	NOUN	ok			монета
426	suprug	NOUN	ok			муж
427	lečnik	NOUN	ok			лекарь
428	zaboravljati	VERB	ok			забывать
429	utisak	NOUN	ok			впечатление
431	vruć	ADJ	ok			горячий
432	kabina	NOUN	ok			каюта
435	uzbuna	NOUN	ok			возбуждение
442	fokusirati	VERB	ok			фокусировать
444	naredba	NOUN	ok			приказ
445	djed	NOUN	ok			дедушка
446	meden	ADJ	gloss	медовый	meden — прилагательное от меда, не «медвяный»	медвяный
448	tvrtka	NOUN	ok			фирма
449	kupac	NOUN	ok			покупатель
453	nervirati	VERB	ok			раздражать
454	vladati	VERB	ok			повелевать, царствовать
459	bašta	NOUN	ok			огород, сад
462	slabost	NOUN	gloss	слабость	slabost — общее значение, не только медицинское	недомогание
464	častiti	VERB	ok			потчевать
466	utvrditi	VERB	ok			фиксировать
469	nedostatak	NOUN	ok			дефицит
478	otpor	NOUN	ok			противодействие
480	razočaran	ADJ	ok			разочарованный
481	glumica	NOUN	ok			актриса
486	sanduk	NOUN	ok			ящик
489	savez	NOUN	ok			объединение
491	zarada	NOUN	ok			жалованье
492	uništenje	NOUN	ok			уничтожение
497	dodirivati	VERB	ok			касаться
499	otrovati	ADJ	gloss	VERB	otrovati — глагол, а не прилагательное; значит «отравить»	отравить
500	obrazovanje	NOUN	gloss	образование	obrazovanje — процесс обучения и его результат, не только «учение»	учение
506	upozoravati	VERB	ok			предостерегать, предупреждать
509	krvarenje	NOUN	gloss	кровотечение	krvarenje — основное значение, геморрагия — медицинский термин	геморрагия, кровоизлияние, кровотечение
518	saveznik	NOUN	ok			союзник
521	vlak	NOUN	ok			поезд
522	pogreška	NOUN	ok			ошибка
523	plavuša	NOUN	ok			блондинка
524	kovčeg	NOUN	gloss	сундук	kovčeg — гроб это вторичное значение, основное — сундук	гроб
526	dodir	NOUN	ok			контакт, соприкосновение
527	pucanj	NOUN	ok			стрельба
528	prekid	NOUN	gloss	перерыв	prekid — общее значение «перерыв», аборт — частный случай	аборт
539	jetra	NOUN	ok			печень
543	klovn	NOUN	gloss	печень	jetra — орган, а не абстрактное понятие	паяц
544	prenositi	VERB	ok			передавать
552	neprijateljski	ADV	drop_grammar	neprijateljski — наречие образа действия, учить надо		вражеский
554	pogon	NOUN	ok			двигатель
555	deka	NOUN	ok			дедушка
558	nacrtati	VERB	ok			зарисовывать
559	uzbuđenje	NOUN	ok			возбуждение
560	stablo	NOUN	ok			дерево
561	odande	ADV	ok			оттуда
562	stvaranje	NOUN	gloss	творчество	stvaranje — процесс создания, не только «произведение»	произведение
564	sudski	ADJ	ok			судебный
565	saradnik	NOUN	ok			сослуживец
566	istinski	ADV	drop_grammar	istinski — наречие образа действия, учить надо		настоящий
