order	lemma	pos	freq	forms	sentences	gloss	doubt
517	šunka	NOUN	2782	16	0	ветчина, окорок	
518	sprečavati	VERB	2776	204	0	препятствовать	
519	karati	VERB	2755	102	0	бранить, ругать	
520	čuven	ADJ	2743	73	0	знаменитый; известный	
521	čvor	NOUN	2739	16	0	узел	
522	spomenik	NOUN	2738	15	0	памятник	
523	ujesti	VERB	2691	102	0	кусать	
524	putanja	NOUN	2683	15	0	тропинка, дорожка	
525	decembar	NOUN	2682	15	0	декабрь	
526	završetak	NOUN	2671	21	0	завершение	
527	veverica	NOUN	2667	28	0	зоол. белка (лат. Sciurus)	
528	posećivati	VERB	2660	204	0	посещать, навещать	
529	bolničar	NOUN	2651	17	0	мед. санитар	
530	novčanica	NOUN	2645	15	0	банкнота	
531	novembar	NOUN	2625	15	0	ноябрь	
532	cigla	NOUN	2622	18	0	кирпич	
533	krtica	NOUN	2615	14	0	крот	
534	nadzornik	NOUN	2609	15	0	надзиратель	
535	pukotina	NOUN	2599	15	0	трещина	
536	štedeti	VERB	2591	202	1	копить, собирать	
537	bubanj	NOUN	2586	21	0	барабан	
538	osmi	ADJ	2585	63	1	восьмой	
539	igralište	NOUN	2575	15	0	детская площадка, игровая площадка	
540	čelik	NOUN	2572	15	1	сталь	
541	poređenje	NOUN	2570	15	0	сравнение	
542	musliman	NOUN	2554	15	0	мусульманин, магометанин	
543	bradavica	NOUN	2526	14	0	бородавка	
544	nestrpljiv	ADJ	2507	191	0	нетерпеливый	
545	doručkovati	VERB	2482	109	3	завтракать	
546	stanar	NOUN	2480	17	0	житель, жилец	
547	krasan	ADJ	2465	191	0	красивый	
548	alergičan	ADJ	2464	191	1	мед. аллергический	
549	agresivan	ADJ	2452	191	2	агрессивный	
550	ambulanta	NOUN	2448	18	0	амбулатория	
551	pesnica	NOUN	2440	15	0	кулак	
552	znoj	NOUN	2437	15	0	пот	
553	dobrobit	NOUN	2434	15	0	благосостояние, благополучие, благоденствие	
554	potres	NOUN	2417	15	0	землетрясение	
555	bunar	NOUN	2389	15	1	колодец	
556	glasanje	NOUN	2377	15	0	голосование	
557	prekidač	NOUN	2371	15	0	выключатель	
558	gušter	NOUN	2371	15	0	зоол. ящерица	
559	većinom	ADV	2361	1	0	большей частью, в большинстве случаев	
560	saučešće	NOUN	2346	15	0	соболезнование	
561	lezbejka	NOUN	2345	17	0	лесбиянка	
562	krpa	NOUN	2341	15	0	тряпка; лоскут	
563	dinosaurus	NOUN	2327	15	0	зоол. динозавр	
564	naselje	NOUN	2319	15	0	населённый пункт, поселение	
565	sirotište	NOUN	2313	15	0	приют, детский дом	
566	centimetar	NOUN	2288	15	0	сантиметр	
567	barut	NOUN	2284	15	0	порох	
568	fioka	NOUN	2274	15	0	выдвижной ящик	
569	ispunjavati	VERB	2252	102	0	исполнять, выполнять	
570	kandža	NOUN	2244	15	0	анат. коготь	
571	divljak	NOUN	2241	15	0	дикарь, дикий человек	
572	rađati	VERB	2238	102	0	рожать, рождать	
573	mladoženja	NOUN	2229	14	0	жених	
574	angažovati	VERB	2219	109	0	ангажировать	
575	ulog	NOUN	2218	14	3	вклад (денежные средства, которые организации или отдельные лица хранят в финансовом учреждении); депозит	
576	zemljotres	NOUN	2217	15	2	землетрясение	
577	sažaljenje	NOUN	2213	15	0	сочувствие, жалость	
578	paradajz	NOUN	2181	15	0	помидор	
579	tajanstven	ADJ	2176	191	0	таинственный, загадочный	
580	biskup	NOUN	2174	15	0	епископ	
581	biser	NOUN	2173	15	0	жемчуг	
582	istorijski	ADJ	2169	184	0	исторический	
583	kamila	NOUN	2165	22	0	зоол. верблюд	
584	tavan	NOUN	2163	15	0	чердак	
585	šank	NOUN	2161	14	0	стойка (прилавок)	
586	sajam	NOUN	2160	14	0	ярмарка	
587	kašika	NOUN	2158	16	2	ложка	
588	slikar	NOUN	2151	17	2	живописец	
589	četkica	NOUN	2144	14	1	щётка	
590	izjaviti	VERB	2133	102	0	заявить	
591	dlan	NOUN	2132	16	0	анат. ладонь	
592	aplauz	NOUN	2131	15	0	аплодисменты	
593	porođaj	NOUN	2128	15	0	роды, рождение	
594	psihološki	ADJ	2120	62	0	психологический	
595	kafana	NOUN	2115	15	0	кафе, кофейня	
596	bespomoćan	ADJ	2112	73	0	беспомощный, беззащитный	
597	mito	NOUN	2111	15	2	взятка	
598	sličnost	NOUN	2110	15	0	сходство	
599	violina	NOUN	2109	15	3	скрипка	
600	zabranjivati	VERB	2104	102	0	запрещать	
601	institucija	NOUN	2097	15	0	учреждение, институт	
602	čuvanje	NOUN	2074	15	0	хранение	
603	ljubaznost	NOUN	2056	15	0	доброта	
604	nesretan	ADJ	2055	191	0	несчастный, несчастливый	
605	odnosno	ADV	2045	1	0	то есть, а именно; вернее, точнее	
606	naočale	NOUN	2032	7	0	очки	
607	nezavisan	ADJ	2028	191	1	независимый	
608	prase	NOUN	2027	14	0	поросёнок	
609	start	NOUN	2027	16	0	СНВ, Договор об ограничении стратегических (наступательных) вооружений	drop_name: специальный термин, не нужен начинающему
610	usmeriti	VERB	2026	204	0	направить, устремить, нацелить; сориентировать, наставить (кого-либо)	
611	homoseksualac	NOUN	2019	14	0	гомосексуал, гомосексуалист	
612	jahač	NOUN	2014	15	0	всадник, наездник	
613	primirje	NOUN	2001	15	0	перемирие	
614	ucena	NOUN	1993	30	0	шантаж	
615	trovanje	NOUN	1992	15	0	заражение, отравление	
616	amater	NOUN	1988	15	0	любитель	
617	očekivanje	NOUN	1984	15	0	ожидание (действие)	
618	makaze	NOUN	1981	7	0	ножницы	
619	jastog	NOUN	1954	14	0	зоол. омар; лобстер	
620	starateljstvo	NOUN	1936	15	0	опека; опекунство	
621	samoća	NOUN	1929	15	0	одиночество	
622	štakor	NOUN	1923	15	0	зоол. крыса (rattus)	
623	grčki	ADJ	1911	184	6	греческий	
624	lutrija	NOUN	1909	15	1	лотерея	
625	plima	NOUN	1903	15	0	прилив	
626	ćelav	ADJ	1902	191	2	лысый	
627	pripadnik	NOUN	1896	15	0	член (организации); участник (группы)	
628	travnjak	NOUN	1893	15	0	газон	
629	tvrdnja	NOUN	1882	16	0	утверждение	
630	kut	NOUN	1871	25	0	угол	
631	potpredsednik	NOUN	1859	30	0	вице-президент	
632	stepenište	NOUN	1856	15	0	лестница	
633	kockanje	NOUN	1853	15	0	азартная игра	
634	umak	NOUN	1848	15	0	соус	
635	grožđe	NOUN	1847	15	1	виноград	
636	evropski	ADJ	1834	184	1	европейский	
637	jedro	NOUN	1833	18	0	парус	
638	sportista	NOUN	1830	14	0	спортсмен	
639	energetski	ADV	1830	184	0	энергетический	drop_grammar: служебное слово
640	padobran	NOUN	1826	15	0	парашют	
641	pržiti	ADJ	1823	102	0	жареный	
642	ekonomski	ADJ	1796	184	1	экономический	
643	odbijanje	NOUN	1792	15	0	отражение, отбитие (удара, нападения)	
644	hladnjak	NOUN	1784	15	0	холодильник	
645	ada	NOUN	1784	15	0	островок	
646	tovar	NOUN	1777	15	0	груз	
647	životinjski	ADJ	1765	184	1	звериный	
648	koš	NOUN	1764	15	0	корзина	
649	halucinacija	NOUN	1759	15	0	мед. галлюцинация	
650	znanstvenik	NOUN	1749	15	0	учёный	
651	arogantan	ADJ	1743	191	0	нахальный, наглый, высокомерный	
652	pilić	NOUN	1737	15	0	цыплёнок	
653	gvožđe	NOUN	1732	15	2	хим. железо	
654	alkoholičar	NOUN	1709	15	0	алкоголик	
655	beskrajan	ADJ	1704	191	1	бесконечный	
656	siromaštvo	NOUN	1703	15	0	бедность	
657	nepodnošljiv	ADJ	1699	191	0	невыносимый, непереносимый, нестерпимый	
658	porotnik	NOUN	1687	15	0	присяжный заседатель	
659	besmrtan	ADJ	1682	191	0	бессмертный	
660	njuška	NOUN	1664	20	0	морда, рыло	
661	najaviti	VERB	1657	102	1	объявить, сообщить	
662	baklja	NOUN	1653	18	1	факел	
663	nadležnost	NOUN	1651	15	0	компетенция, ведение	
664	poštar	NOUN	1648	17	0	почтальон	
665	poštanski	ADJ	1645	62	4	почтовый	
666	obdukcija	NOUN	1645	15	0	вскрытие, аутопсия	
667	poluga	NOUN	1644	15	0	рычаг; слиток	
668	fotelja	NOUN	1629	15	0	кресло	
669	kadar	NOUN	1619	205	0	способный, годный	
670	prehlada	NOUN	1616	15	1	мед. простуда	
671	šipka	NOUN	1614	18	0	прут, стержень	
672	usvajanje	NOUN	1611	15	0	усваивание; принятие	
673	teroristički	ADJ	1610	184	0	террористический	
674	grudnjak	NOUN	1608	15	0	бюстгальтер	
675	svila	NOUN	1602	15	0	шёлк	
676	zajam	NOUN	1595	14	0	заём	
677	stanovništvo	NOUN	1594	15	1	население	
678	srpski	ADJ	1581	184	1	сербский	
679	duvan	NOUN	1576	15	0	табак	
680	okupljati	VERB	1569	102	0	сосредотачивать, сосредоточивать, концентрировать	
681	plaćenik	NOUN	1549	15	0	наёмник, наймит	
682	začin	NOUN	1546	15	0	пряность, специя, приправа	
683	šargarepa	NOUN	1545	15	1	морковь	
684	rečnik	NOUN	1544	30	13	словарь	
685	olovo	NOUN	1524	15	0	хим. свинец	
686	predator	NOUN	1513	15	0	биол. хищник	
687	pogreb	NOUN	1512	15	0	похороны, погребение; устар. могила	
688	mađioničar	NOUN	1510	17	0	фокусник	
689	parkiralište	NOUN	1504	15	0	автостоянка, парковка	
690	narudžba	NOUN	1503	18	0	заказ	
691	vrtić	NOUN	1487	15	0	детский сад	
692	bolničarka	NOUN	1479	16	0	медсестра	
693	avionski	ADJ	1479	62	1	самолётный; авиационный, воздушный	
694	planinski	ADJ	1477	184	0	горный	
695	masakr	NOUN	1476	15	0	резня, бойня	
696	nezaposlen	ADJ	1475	191	0	безработный, незанятый	
697	okret	NOUN	1470	15	0	вращение	
698	šina	NOUN	1469	15	0	рельс	
699	očuh	NOUN	1463	14	0	отчим	
700	obrva	NOUN	1462	15	0	бровь	
701	isključivati	VERB	1457	102	0	исключать	
702	posmatrač	NOUN	1453	15	1	наблюдатель	
703	suprotnost	NOUN	1441	15	0	противоположность, противопоставленность, контраст	
704	početnik	NOUN	1440	15	2	новичок	
705	skupština	NOUN	1439	15	0	собрание; ассамблея	
706	trkač	NOUN	1435	15	1	бегун	
707	osvetnik	NOUN	1435	15	0	мститель	
708	apsolutan	ADJ	1432	191	1	абсолютный, полный	
709	brzak	NOUN	1424	15	0	порог, мель	
710	nemilosrdan	ADJ	1423	191	0	безжалостный, беспощадный, немилосердный	
711	atentat	NOUN	1421	15	0	покушение, теракт	
712	doprinos	NOUN	1419	15	0	вклад (что-либо ценное, вносимое кем-либо в науку, культуру, в общее дело)	
713	računovođa	NOUN	1418	14	0	бухгалтер, счетовод	
714	avet	NOUN	1418	15	0	призрак, привидение	
715	đavolji	ADJ	1414	60	0	чертовский, дьявольский; ни к чёрту не годный, негодный, никудышный	
716	gubica	NOUN	1413	15	0	морда	
717	mučnina	NOUN	1412	15	0	тошнота	
718	brašno	NOUN	1404	15	0	мука́	
719	ćutanje	NOUN	1401	15	0	молчание	
720	lešinar	NOUN	1387	17	0	гриф, стервятник	
721	staklen	ADJ	1387	191	0	стеклянный	drop_transparent: staklen — стеклянный, тот же корень что русское стекло
722	krastavac	NOUN	1381	14	0	огурец	
723	pamuk	NOUN	1376	15	0	хлопок	
724	foka	NOUN	1359	15	0	тюлень	
725	takozvani	ADJ	1356	63	0	так называемый	
726	tradicionalan	ADJ	1344	191	0	традиционный	
727	odaja	NOUN	1337	15	0	помещение, комната	
728	skica	NOUN	1336	15	0	искусств. набросок, скетч, эскиз	
729	kupus	NOUN	1333	15	0	капуста	
730	pirinač	NOUN	1327	15	1	рег. (sr) рис	drop_rare: пометка (sr) указывает на региональность, для начинающего не нужно
731	plesač	NOUN	1327	15	0	танцор	
732	kvaka	NOUN	1318	15	0	дверная ручка	
733	izbeglica	NOUN	1307	58	0	беженец	
734	hrišćanski	ADJ	1297	184	0	христианский	
735	beznačajan	ADJ	1287	191	0	незначительный	
736	književnost	NOUN	1286	15	0	литература	
737	jarac	NOUN	1285	14	0	козёл	
738	sočivo	NOUN	1280	15	1	чечевица	
739	puž	NOUN	1273	15	0	улитка	
740	prisutnost	NOUN	1267	15	0	присутствие	
741	naglasiti	VERB	1264	102	0	подчеркнуть, выделить	
742	krvoproliće	NOUN	1257	15	0	кровопролитие	
743	jednačina	NOUN	1235	15	0	уравнение	
744	sveučilište	NOUN	1229	15	0	университет	
745	brijati	VERB	1227	102	0	брить	
746	svagda	ADV	1226	1	0	всегда	
747	afrički	ADJ	1223	184	0	африканский	
748	ucenjivati	VERB	1216	204	0	шантажировать	
749	žeđ	NOUN	1214	15	0	жажда	
750	uže	NOUN	1211	15	0	верёвка	
751	usamljenost	NOUN	1209	15	1	одиночество	
752	kišan	ADJ	1207	191	1	дождливый	
753	grkljan	NOUN	1203	15	0	гортань	
754	jagnje	NOUN	1200	14	1	ягнёнок	
755	trougao	NOUN	1199	20	2	геометр. треугольник	
756	razočarenje	NOUN	1195	15	0	разочарование	
757	šišmiš	NOUN	1190	15	0	летучая мышь	
758	prestonica	NOUN	1184	16	0	столица	
759	neočekivan	ADJ	1179	191	0	неожиданный	
760	pokrivač	NOUN	1176	16	0	одеяло	
761	osnivač	NOUN	1170	15	0	основатель	
762	funkcionisati	VERB	1170	29	0	функционировать	
763	besmrtnost	NOUN	1166	15	0	бессмертие	
764	čest	ADJ	1165	191	30	частый	
765	bilijar	NOUN	1163	15	1	бильярд	
766	uvis	ADV	1163	1	1	вверх, наверх	
767	industrijski	ADJ	1162	184	0	промышленный, индустриальный	
768	burazer	NOUN	1156	43	0	брат	
769	burka	NOUN	1152	16	0	паранджа	
770	tenzija	NOUN	1146	15	0	физ., эл.-техн. напряжение; натяжение	
771	saosećanje	NOUN	1145	30	0	сострадание, сочувствие, сопереживание	
772	sveska	NOUN	1143	16	1	блокнот	
773	amandman	NOUN	1141	15	0	поправка	
774	poslodavac	NOUN	1136	14	0	работодатель, наниматель	
775	luksuz	NOUN	1128	15	0	роскошь	
776	truo	ADJ	1127	191	0	гнилой	
777	mazga	NOUN	1126	16	0	лошак	
778	lubanja	NOUN	1126	15	0	череп	
779	kopirati	VERB	1124	109	0	копировать	
780	tekućina	NOUN	1116	15	0	жидкость	
781	senf	NOUN	1109	16	0	горчица	
782	uspravno	ADV	1107	3	0	вертикально, по вертикали	
783	elektrana	NOUN	1103	15	0	электростанция	
784	remi	NOUN	1097	15	0	спорт. ничья	
785	gljiva	NOUN	1090	15	1	гриб	
786	korisnik	NOUN	1087	15	0	пользователь	
787	slan	ADJ	1084	191	1	солёный	
788	mesar	NOUN	1079	17	0	мясник	
789	smanjenje	NOUN	1072	15	0	уменьшение	
790	fetus	NOUN	1071	15	0	плод	
791	đak	NOUN	1071	15	0	ученик	
792	nejasan	ADJ	1070	191	0	неясный	
793	kostur	NOUN	1066	15	0	скелет	
794	bombarder	NOUN	1059	15	0	бомбардировщик	
795	breskva	NOUN	1058	18	0	персик	
796	šut	NOUN	1050	24	0	бросок	
797	obveznica	NOUN	1049	15	0	облигация	
798	novinarka	NOUN	1043	17	0	журналистка	
799	lakat	NOUN	1040	24	2	локоть	
800	trostruk	ADJ	1037	191	0	тройной	
801	amajlija	NOUN	1034	15	0	талисман, амулет	
802	kovač	NOUN	1030	15	0	славянская фамилия	drop_name: толкование указывает только на фамилию, но слово означает профессию
803	šaputati	VERB	1018	109	1	шептать; подсказывать	
804	porudžbina	NOUN	1016	15	0	заказ	
805	fotografisati	VERB	1013	109	0	фотографировать	
806	nedeljni	ADJ	1012	120	3	еженедельный	
807	pomračenje	NOUN	1010	15	0	астрон. затмение	
808	lubenica	NOUN	1002	14	1	ботан. арбуз	
809	divljenje	NOUN	992	15	0	восхищение	
810	buva	NOUN	990	15	0	энтомол. блоха	
811	okrutnost	NOUN	984	15	0	жестокость	
812	poljski	ADJ	983	184	2	полевой	
813	bubašvaba	NOUN	979	15	1	энтомол. таракан	
814	cimet	NOUN	972	15	0	корица	
815	diplomatski	ADJ	971	184	0	дипломатический	
816	riža	NOUN	961	15	0	рис	
817	zelje	NOUN	955	15	0	капуста	
818	elektricitet	NOUN	951	15	1	физ. электричество	
819	suša	NOUN	941	15	1	засуха	
820	vulkanski	ADJ	940	62	0	вулканический	
821	dobijanje	NOUN	939	15	0	получение	
822	svemoguć	ADJ	935	69	0	всемогущий; всесильный, всемощный	
823	egzotičan	ADJ	928	191	0	экзотичный; экзотический	
824	košnica	NOUN	927	14	2	улей	
825	prezir	NOUN	921	32	1	презрение	
826	povraćanje	NOUN	915	15	0	физиол. рвота	
827	bučan	ADJ	905	191	0	шумный	
828	livada	NOUN	905	15	0	луг	
829	krhak	ADJ	904	191	0	хрупкий (также перен.)	
830	svetionik	NOUN	903	30	0	маяк	
831	bubnjar	NOUN	902	17	0	барабанщик	
832	bobica	NOUN	898	14	0	ягода	
833	ponavljanje	NOUN	894	15	0	повторение	
834	pečenje	NOUN	887	15	0	кулин. жаркое	
835	bakar	NOUN	886	15	0	хим. медь	
836	usev	NOUN	886	30	0	с.-х. посев (то, что посеяно)	
837	obuća	NOUN	882	15	1	обувь	
838	krojač	NOUN	881	15	0	портной	
839	samostalan	ADJ	880	191	0	независимый, самостоятельный	
840	presedan	NOUN	879	15	0	прецедент	
841	financijski	ADV	876	184	0	финансовый	drop_grammar: помечено как ADV, но это ADJ
842	zapovedati	VERB	872	204	0	приказывать; распоряжаться	
843	mirovni	ADJ	871	63	0	миротворческий (о силах); мирный (о переговорах)	
844	rakun	NOUN	871	15	0	зоол. енот, енот-полоскун (Procyon Lotor)	
845	jačina	NOUN	870	15	0	сила, мощность; интенсивность	
846	blagajna	NOUN	865	16	0	кассовый аппарат	
847	vir	NOUN	860	16	0	водоворот	
848	finansirati	VERB	855	102	0	финансировать	
849	umorstvo	NOUN	854	15	0	убийство	
850	trup	NOUN	851	15	0	анат. туловище, торс, корпус; остов, корпус	
851	labud	NOUN	847	23	0	зоол. лебедь	
852	sisar	NOUN	832	17	0	млекопитающее	
853	ujedno	ADV	830	1	0	вместе, одновременно	
854	oslobođenje	NOUN	814	15	0	освобождение	
855	umor	NOUN	814	15	0	усталость, утомление, утомлённость	
856	zraka	NOUN	811	15	1	луч (света)	
857	samouveren	ADJ	806	380	0	самоуверенный	
858	samostan	NOUN	787	15	0	религ. монастырь	
859	demokratski	ADV	786	184	0	демократический	drop_grammar: помечено как ADV, но это ADJ
860	bušilica	NOUN	785	14	0	дрель	
861	zadah	NOUN	777	14	0	смрад, зловоние, вонь	
862	osigurač	NOUN	776	15	0	техн. предохранитель	
863	alga	NOUN	776	16	0	водоросль	
864	taktički	ADV	775	64	0	тактический	drop_grammar: помечено как ADV, но это ADJ
865	velikodušnost	NOUN	769	15	0	великодушие	
866	krijumčarenje	NOUN	758	15	0	юр. контрабанда	
867	knjižnica	NOUN	758	14	0	библиотека	
868	procenjivati	VERB	754	204	0	оценивать	
869	šamar	NOUN	753	15	0	пощёчина, оплеуха	
870	donošenje	NOUN	752	15	0	(о решении) принятие	
871	krijumčar	NOUN	751	17	0	контрабандист	
872	neprijateljstvo	NOUN	749	15	0	враждебность, вражда, неприязнь	
873	valcer	NOUN	742	15	0	вальс	
874	azil	NOUN	738	15	0	убежище, приют	
875	borovnica	NOUN	717	14	0	ботан. черника	
876	krišom	ADV	710	1	0	тайно, тайком, скрытно, секретно	
877	pomorandža	NOUN	710	16	2	ботан. апельсин	
878	manjina	NOUN	710	15	0	меньшинство	
879	skakač	NOUN	709	15	0	прыгун; шахм. конь	
880	hrčak	NOUN	707	16	0	хомяк	
881	neoprostiv	ADJ	705	191	0	непростительный	
882	klizav	ADJ	705	191	0	скользкий, склизкий	
883	mulj	NOUN	705	23	0	ил, грязь	
884	vazduhoplovstvo	NOUN	700	15	0	авиация, воздухоплавание	
885	strašilo	NOUN	699	15	0	пугало	
886	potcenjivati	VERB	697	102	0	недооценивать	
887	predoziranje	NOUN	697	15	0	мед. передозировка	
888	neposlušnost	NOUN	686	15	0	непослушание, неповиновение	
889	papak	NOUN	682	15	0	копыто	
890	fudbaler	NOUN	680	15	0	футболист	
891	sumpor	NOUN	679	15	0	хим. сера	
892	turistički	ADJ	676	184	0	туристический	
893	jegulja	NOUN	675	15	0	ихтиол. угорь (anguilla)	
894	vrabac	NOUN	666	15	1	орнитол. воробей	
895	novinarstvo	NOUN	663	15	0	журналистика	
896	računovodstvo	NOUN	663	15	0	бухгалтерский учёт	
897	nag	ADJ	660	191	0	голый, нагой	
898	leglo	NOUN	659	15	0	выводок; логово, логовище, лёжка	
899	grmljavina	NOUN	657	15	0	метеорол. гроза	
900	šaljivdžija	NOUN	652	14	0	большой шутник	
901	vrtlog	NOUN	647	14	0	водоворот	
902	radnica	NOUN	646	14	1	работница	
903	oporuka	NOUN	646	15	0	юр. завещание	
904	miraz	NOUN	645	16	0	приданое	
905	golicati	VERB	644	102	0	щекотать	
906	mol	NOUN	642	16	0	минор	
907	hologram	NOUN	641	15	0	голограмма	
908	upravljač	NOUN	637	15	0	руль, рулевое колесо	
909	hrkati	VERB	637	29	0	храпеть	
910	čekaonica	NOUN	635	14	0	приёмная	
911	ševa	NOUN	635	15	0	шов	
912	čep	NOUN	634	16	0	пробка (затычка)	
913	crnkinja	NOUN	634	15	0	негритянка	
914	varnica	NOUN	630	42	0	искра	
915	uranijum	NOUN	630	15	0	уран, хим. химический элемент с атомным номером 92, обозначается химическим символом U, радиоактивный металл из группы т	
916	vukov	ADJ	628	70	0	?	drop_name: толкования нет, это собственное имя
917	tolerancija	NOUN	628	15	1	толерантность, терпимость	
918	sabotirati	VERB	627	109	0	саботировать	
919	usporedba	NOUN	625	18	0	сравнение	
920	bezosećajan	ADJ	621	382	0	бесчувственный	
921	vremeplov	NOUN	619	15	0	машина времени	
922	lala	NOUN	617	22	0	ботан. тюльпан (Tulipa)	
923	mehur	NOUN	614	30	0	пузырь; мочевой пузырь	
924	suh	ADJ	612	307	1	сухой	
925	barka	NOUN	608	20	0	лодка	
926	konjanik	NOUN	606	15	0	всадник, наездник	
927	dijabetes	NOUN	603	15	1	мед. диабет	
928	patak	NOUN	601	22	0	селезень	
929	svetiljka	NOUN	600	47	0	лампа	
930	ljudstvo	NOUN	600	15	0	человечество	
931	gutati	VERB	591	102	0	глотать	
932	helijum	NOUN	591	7	0	хим. гелий	
933	pepeljuga	NOUN	589	15	0	Золушка	drop_name: это имя персонажа, не нарицательное слово
934	hijena	NOUN	580	15	1	зоол. гиена (hyaena)	
935	aranžman	NOUN	577	15	0	предварительное соглашение, сговор	
936	zastrašivanje	NOUN	574	15	0	устрашение	
937	klin	NOUN	572	16	2	гвоздь	
938	žulj	NOUN	570	23	0	волдырь	
939	srećković	NOUN	567	15	0	?	drop_name: толкования нет, это фамилия
940	statistički	ADV	566	64	0	статистический	
941	vagati	VERB	566	112	0	взвешивать	
942	tropski	ADJ	566	62	0	геогр. тропический	
943	igračica	NOUN	565	14	0	танцовщица	
944	guja	NOUN	564	15	0	зоол. змея (serpens)	
945	revolucionaran	ADJ	561	191	0	революционный	
946	galeb	NOUN	560	23	0	орнитол. чайка	
947	manipulisati	VERB	553	102	0	манипулировать	
948	guba	NOUN	551	15	3	мед. лепра; проказа	
949	dvogled	NOUN	550	15	0	бинокль	
950	histeričan	ADJ	548	191	0	истеричный; истерический	
951	vaga	NOUN	548	17	0	весы; вес	
952	čedo	NOUN	543	15	0	ребёнок	
953	korica	NOUN	542	15	1	обложка	
954	ozbiljnost	NOUN	541	15	0	серьёзность; важность, значительность	
955	rupica	NOUN	538	15	0	петля (прорез в одежде для застёгивания)	
956	tesla	NOUN	537	17	0	тесла (единица)	
957	skakavac	NOUN	537	14	0	зоол. кузнечик; саранча	
958	zapošljavanje	NOUN	528	15	0	трудоустройство, найм	
959	usisivač	NOUN	527	15	0	пылесос	
960	alatka	NOUN	525	16	0	инструмент	
961	etički	ADJ	518	62	0	этический	
962	pobačaj	NOUN	513	15	0	выкидыш	
963	koincidencija	NOUN	512	15	0	совпадение	
964	odsto	ADV	510	1	0	процент	
965	šutirati	VERB	509	109	0	ударить/ударять (по мячу)	
966	državljanin	NOUN	508	15	0	гражданин	
967	proliv	NOUN	507	30	1	пролив (географический)	
968	golo	ADV	504	3	0	голо, голый	
969	ustanak	NOUN	502	15	0	восстание	
970	vodenjak	NOUN	501	15	0	зоол. тритон	
971	posetnica	NOUN	501	30	0	визитная карточка, визитка	
972	kovanica	NOUN	498	15	0	монета	
973	suzavac	NOUN	497	14	0	слезоточивый газ	
974	naušnica	NOUN	497	14	0	серьга	
975	njuškalo	NOUN	492	15	0	разг. проныра, пролаза; шпион, шпик	
976	državljanstvo	NOUN	482	15	1	гражданство	
977	finansiranje	NOUN	476	15	0	фин. финансирование	
978	spaljivanje	NOUN	473	15	0	сжигание, сожжение	
979	harmonika	NOUN	470	15	0	аккордеон	
980	tiganj	NOUN	468	43	0	сковородка	
981	gležanj	NOUN	467	22	0	анат. лодыжка, щиколотка	
982	brodić	NOUN	466	15	0	лодочка, маленькая лодка	
983	ljigav	ADJ	465	191	0	скользкий, покрытый слизью	
984	plahta	NOUN	463	16	0	простыня	
985	udaljavati	VERB	462	102	0	удалять, отдалять	
986	blagajnik	NOUN	461	15	0	кассир	
987	talijanski	ADJ	461	184	0	итальянский	
988	dren	NOUN	458	16	0	ботан. кизил (Cornus)	
989	udica	NOUN	456	15	0	рыболовный крючок	
990	grb	NOUN	449	16	0	анат. спина	
991	stolac	NOUN	446	14	0	стул	
992	logičan	ADJ	445	191	0	логический	
993	amaterski	ADV	440	184	0	любительский	drop_grammar: это прилагательное, а не наречие; если наречие, то служебное слово
994	jaz	NOUN	440	16	0	пропасть	
995	lem	NOUN	433	16	0	техн. припой	
996	poboljšavati	VERB	431	102	1	улучшать	
997	babica	NOUN	422	15	0	акушерка	
998	jarbol	NOUN	422	15	0	мачта; флагшток	
999	tvor	NOUN	419	15	0	зоол. хорёк	
1000	strateški	ADJ	416	184	0	стратегический	
1001	ljigavac	NOUN	416	14	0	ихтиол. угорь; перен. скользкий тип, ловкач, изворотливый человек	
1002	zubić	NOUN	414	15	0	зубик, маленький зуб	
1003	sakupljanje	NOUN	410	15	0	сбор, собирание; коллекционирование	
1004	bilion	NOUN	410	15	0	триллион	trap: «bilion» в черногорском — миллиард (как в европейской системе), а не триллион
1005	lignja	NOUN	406	17	0	зоол. кальмар	
1006	mlečan	ADJ	405	382	0	молочный	
1007	beleg	NOUN	402	42	0	знак, отметина	
1008	škare	NOUN	398	7	0	ножницы	
1009	upitnik	NOUN	396	15	0	знак вопроса, вопросительный знак	
1010	ljaga	NOUN	395	17	0	позор, позорное пятно	
1011	zavod	NOUN	393	15	0	заведение, учреждение; центр (научный и т. п.); институт	
1012	obdanište	NOUN	393	15	0	ясли-сад	
1013	osamdeseti	ADJ	391	125	0	восьмидесятый	
1014	svemoćan	ADJ	389	73	0	всемогущий; всесильный, всемощный	
1015	gavran	NOUN	387	15	0	ворон	
1016	pljusak	NOUN	381	22	1	ливень, проливной дождь	
1017	kim	NOUN	381	16	3	тмин	
1018	žbun	NOUN	378	16	0	куст	
1019	trepavica	NOUN	378	15	0	ресница	
1020	besprekorno	ADV	378	2	0	безукоризненно, безупречно	
1021	badnjak	NOUN	377	15	0	рождественское полено	
1022	novorođenče	NOUN	374	14	0	новорождённый	
1023	ukidanje	NOUN	374	15	0	отмена	
1024	akademski	ADJ	368	184	0	академический	
1025	jajašce	NOUN	367	17	0	анат. яйцеклетка	
1026	mećava	NOUN	367	15	0	метель, пурга, вьюга	
1027	arogancija	NOUN	367	15	0	нахальство, наглость, высокомерие, надменность	
1028	komercijalan	ADJ	364	191	0	коммерческий	
1029	cvrčak	NOUN	363	14	0	сверчок	
